Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""login/fasyankes_page""), 5)",Chrome 136.0.0.0,,,2025-05-17 01:56:55,2025-05-17 01:56:55,0.392s,PASSED
"verifyElementPresent(findTestObject(""login/text_updateAkun""), 5)",Chrome 136.0.0.0,,,2025-05-17 01:56:55,2025-05-17 01:56:56,0.384s,PASSED
"sendKeys(findTestObject(""login/input_first_name""), Keys.chord(CONTROL, ""a""))",Chrome 136.0.0.0,,,2025-05-17 01:56:56,2025-05-17 01:56:56,0.503s,PASSED
"sendKeys(findTestObject(""login/input_first_name""), Keys.chord(BACK_SPACE))",Chrome 136.0.0.0,,,2025-05-17 01:56:56,2025-05-17 01:56:57,0.444s,PASSED
"setText(findTestObject(""login/input_first_name""), ""Ricky Nexmedis"")",Chrome 136.0.0.0,,,2025-05-17 01:56:57,2025-05-17 01:56:57,0.898s,PASSED
"sendKeys(findTestObject(""login/input_last_name""), Keys.chord(CONTROL, ""a""))",Chrome 136.0.0.0,,,2025-05-17 01:56:57,2025-05-17 01:56:58,0.428s,PASSED
"sendKeys(findTestObject(""login/input_last_name""), Keys.chord(BACK_SPACE))",Chrome 136.0.0.0,,,2025-05-17 01:56:58,2025-05-17 01:56:58,0.392s,PASSED
"setText(findTestObject(""login/input_last_name""), ""Bismillah"")",Chrome 136.0.0.0,,,2025-05-17 01:56:58,2025-05-17 01:56:59,0.787s,PASSED
"sendKeys(findTestObject(""login/input_no_hp""), Keys.chord(CONTROL, ""a""))",Chrome 136.0.0.0,,,2025-05-17 01:56:59,2025-05-17 01:57:00,0.440s,PASSED
"sendKeys(findTestObject(""login/input_no_hp""), Keys.chord(BACK_SPACE))",Chrome 136.0.0.0,,,2025-05-17 01:57:00,2025-05-17 01:57:00,0.398s,PASSED
"setText(findTestObject(""login/input_no_hp""), ""081234567890"")",Chrome 136.0.0.0,,,2025-05-17 01:57:00,2025-05-17 01:57:01,0.719s,PASSED
"sendKeys(findTestObject(""login/input_email_upd""), Keys.chord(CONTROL, ""a""))",Chrome 136.0.0.0,,,2025-05-17 01:57:01,2025-05-17 01:57:01,0.390s,PASSED
"sendKeys(findTestObject(""login/input_email_upd""), Keys.chord(BACK_SPACE))",Chrome 136.0.0.0,,,2025-05-17 01:57:01,2025-05-17 01:57:02,0.505s,PASSED
"setText(findTestObject(""login/input_email_upd""), ""ricky.yudisi@gmail.com"")",Chrome 136.0.0.0,,,2025-05-17 01:57:02,2025-05-17 01:57:02,0.713s,PASSED
"setEncryptedText(findTestObject(""login/input_password""), ""+TGLV7QsZ7ZP2s6xhLutwA=="")",Chrome 136.0.0.0,,,2025-05-17 01:57:02,2025-05-17 01:57:03,0.407s,PASSED
"click(findTestObject(""login/button_upd_acc""))",Chrome 136.0.0.0,,,2025-05-17 01:57:03,2025-05-17 01:57:03,0.502s,PASSED
"verifyElementPresent(findTestObject(""login/success_img""), 5)",Chrome 136.0.0.0,,,2025-05-17 01:57:03,2025-05-17 01:57:04,0.679s,PASSED
"verifyElementPresent(findTestObject(""login/text_success_upd""), 5)",Chrome 136.0.0.0,,,2025-05-17 01:57:04,2025-05-17 01:57:04,0.399s,PASSED
delay(1),Chrome 136.0.0.0,,,2025-05-17 01:57:04,2025-05-17 01:57:05,1.014s,PASSED
"click(findTestObject(""login/button_solid""))",Chrome 136.0.0.0,,,2025-05-17 01:57:05,2025-05-17 01:57:06,0.485s,PASSED
delay(1),Chrome 136.0.0.0,,,2025-05-17 01:57:06,2025-05-17 01:57:07,1.011s,PASSED
closeBrowser(),Chrome 136.0.0.0,,,2025-05-17 01:57:07,2025-05-17 01:57:08,1.727s,PASSED
,,,,,,,
Test Cases/login/logout_acc,Chrome 136.0.0.0,,,2025-05-17 01:57:09,2025-05-17 01:57:56,47.923s,PASSED
"openBrowser("""")",Chrome 136.0.0.0,,,2025-05-17 01:57:09,2025-05-17 01:57:10,1.522s,PASSED
maximizeWindow(),Chrome 136.0.0.0,,,2025-05-17 01:57:10,2025-05-17 01:57:10,0.066s,PASSED
"navigateToUrl(""https://stg-app.nexmedis.com/"")",Chrome 136.0.0.0,,,2025-05-17 01:57:10,2025-05-17 01:57:46,35.224s,PASSED
"setText(findTestObject(""login/input_id""), ""official_nexmedis"")",Chrome 136.0.0.0,,,2025-05-17 01:57:46,2025-05-17 01:57:47,0.792s,PASSED
"click(findTestObject(""login/button_solid""))",Chrome 136.0.0.0,,,2025-05-17 01:57:47,2025-05-17 01:57:47,0.437s,PASSED
"setText(findTestObject(""login/input_id""), ""ricky.yudisi@gmail.com"")",Chrome 136.0.0.0,,,2025-05-17 01:57:47,2025-05-17 01:57:48,0.952s,PASSED
"setEncryptedText(findTestObject(""login/input_password""), ""+TGLV7QsZ7ZP2s6xhLutwA=="")",Chrome 136.0.0.0,,,2025-05-17 01:57:48,2025-05-17 01:57:48,0.485s,PASSED
"click(findTestObject(""login/button_solid""))",Chrome 136.0.0.0,,,2025-05-17 01:57:48,2025-05-17 01:57:49,0.395s,PASSED
delay(3),Chrome 136.0.0.0,,,2025-05-17 01:57:49,2025-05-17 01:57:52,3.012s,PASSED
"verifyElementPresent(findTestObject(""login/fasyankes_page""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:52,2025-05-17 01:57:52,0.357s,PASSED
"verifyElementPresent(findTestObject(""login/text_updateAkun""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:52,2025-05-17 01:57:53,0.354s,PASSED
"click(findTestObject(""login/button_logout""))",Chrome 136.0.0.0,,,2025-05-17 01:57:53,2025-05-17 01:57:53,0.471s,PASSED
"verifyElementPresent(findTestObject(""login/info_img""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:53,2025-05-17 01:57:53,0.468s,PASSED
"verifyElementPresent(findTestObject(""login/text_confirm_logout""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:53,2025-05-17 01:57:54,0.391s,PASSED
"click(findTestObject(""login/button_confirm_logout""))",Chrome 136.0.0.0,,,2025-05-17 01:57:54,2025-05-17 01:57:54,0.443s,PASSED
"verifyElementPresent(findTestObject(""login/nexmedis_img""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:54,2025-05-17 01:57:55,0.536s,PASSED
"verifyElementPresent(findTestObject(""login/input_id""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:55,2025-05-17 01:57:55,0.364s,PASSED
"verifyElementPresent(findTestObject(""login/button_solid""), 3)",Chrome 136.0.0.0,,,2025-05-17 01:57:55,2025-05-17 01:57:56,0.357s,PASSED
closeBrowser(),Chrome 136.0.0.0,,,2025-05-17 01:57:56,2025-05-17 01:57:56,0.896s,PASSED
